,city,country,airport_name
0,Istanbul,Turkey,Istanbul Airport
1,Moscow,Russia,Sheremetyevo International Airport
2,Paris,France,Charles de Gaulle Airport
3,Amsterdam,Netherlands,Amsterdam Airport Schiphol
4,Moscow,Russia,Domodedovo International Airport
5,Frankfurt,Germany,Frankfurt am Main Airport
6,Madrid,Spain,Adolfo Suárez Madrid–Barajas Airport
7,London,United Kingdom,Heathrow Airport
8,Barcelona,Spain,Josep Tarradellas Barcelona–El Prat Airport
9,Saint Petersburg,Russia,Pulkovo Airport
10,Moscow,Russia,Vnukovo International Airport
11,Paris,France,Orly Airport
12,Palma de Mallorca,Spain,Palma de Mallorca Airport
13,Munich,Germany,Munich Airport
14,Athens,Greece,Athens International Airport
15,Lisbon,Portugal,Lisbon Airport
16,Rome,Italy,Leonardo da Vinci–Fiumicino Airport
17,Vienna,Austria,Vienna International Airport
18,Zürich,Switzerland,Zurich Airport
19,Berlin,Germany,Berlin Brandenburg Airport
20,Milan,Italy,Malpensa Airport
21,Kyiv,Ukraine,Boryspil International Airport
22,Oslo,Norway,"Oslo Airport, Gardermoen"
23,Brussels,Belgium,Brussels Airport
24,Copenhagen,Denmark,Copenhagen Airport
25,Málaga,Spain,Málaga Airport
26,Dublin,Republic of Ireland,Dublin Airport
27,Düsseldorf,Germany,Düsseldorf Airport
28,Stockholm,Sweden,Stockholm Arlanda Airport
29,Warsaw,Poland,Warsaw Chopin Airport
30,London,United Kingdom,London Stansted Airport
31,Bucharest,Romania,Henri Coandă International Airport
32,Simferopol,Russia,Simferopol International Airport
33,Nice,France,Nice Côte d'Azur Airport
34,Milan,Italy,Orio al Serio International Airport
35,London,United Kingdom,Gatwick Airport
36,Catania,Italy,Catania-Fontanarossa Airport
37,Manchester,United Kingdom,Manchester Airport
38,Geneva,Switzerland,Geneva Airport
39,Porto,Portugal,Porto Airport
40,Alicante,Spain,Alicante Airport
41,Hamburg,Germany,Hamburg Airport
42,Heraklion,Greece,Heraklion International Airport
43,Krasnodar,Russia,Krasnodar International Airport
44,Ibiza,Spain,Ibiza Airport
45,London,United Kingdom,Luton Airport
46,Marseille,France,Marseille Provence Airport
47,Naples,Italy,Naples Airport
48,Budapest,Hungary,Budapest Ferenc Liszt International Airport
49,Palermo,Italy,Falcone–Borsellino Airport
50,Lyon,France,Lyon–Saint-Exupéry Airport
51,Prague,Czech Republic,Václav Havel Airport Prague
52,Milan,Italy,Linate Airport
53,Helsinki,Finland,Helsinki Airport
54,Cologne,Germany,Cologne Bonn Airport
55,Bologna,Italy,Bologna Guglielmo Marconi Airport
56,Valencia,Spain,Valencia Airport
57,Ufa,Russia,Ufa International Airport
58,Kaliningrad,Russia,Khrabrovo Airport
59,Kazan,Russia,Kazan International Airport
60,Toulouse,France,Toulouse–Blagnac Airport
61,Charleroi,Belgium,Brussels South Charleroi Airport
62,Basel,France,EuroAirport Basel Mulhouse Freiburg
63,Stuttgart,Germany,Stuttgart Airport
64,Thessaloniki,Greece,"Thessaloniki Airport ""Macedonia"""
65,Seville,Spain,Seville Airport
66,Venice,Italy,Venice Marco Polo Airport
67,Rhodes,Greece,Rhodes International Airport
68,Sofia,Bulgaria,Sofia Airport
69,Nantes,France,Nantes Atlantique Airport
70,Belgrade,Serbia,Belgrade Nikola Tesla Airport
71,Bergen,Norway,"Bergen Airport, Flesland"
72,Faro,Portugal,Faro Airport
73,Mineralnye Vody,Russia,Mineralnye Vody Airport
74,Kraków,Poland,Kraków John Paul II International Airport
75,Bordeaux,France,Bordeaux–Mérignac Airport
76,Edinburgh,United Kingdom,Edinburgh Airport
77,Samara,Russia,Kurumoch International Airport
78,Anapa,Russia,Anapa Airport
79,Tirana Airport,Albania,Albania
80,Rostov-on-Don,Russia,Platov International Airport
81,Cagliari,Italy,Cagliari Elmas Airport
82,Eindhoven,Netherlands,Eindhoven Airport
83,Bilbao,Spain,Bilbao Airport
84,Malta,Malta,Malta International Airport
85,Minsk,Belarus,Minsk National Airport
86,Birmingham,United Kingdom,Birmingham Airport
87,Riga,Latvia,Riga International Airport
88,Katowice,Poland,Katowice Airport
89,Belfast,United Kingdom,Belfast International Airport
90,Rome,Italy,Ciampino Airport
91,Corfu,Greece,Corfu International Airport
92,Pristina International Airport,Kosovo,Kosovo
93,Keflavík International Airport,Iceland,Iceland
94,Gdańsk,Poland,Gdańsk Lech Wałęsa Airport
95,Bristol,United Kingdom,Bristol Airport
96,Olbia,Italy,Olbia Costa Smeralda Airport
97,Paris,France,Beauvais–Tillé Airport
98,Glasgow,United Kingdom,Glasgow Airport
99,Turin,Italy,Turin Airport
100,Trondheim,Norway,Trondheim Airport Værnes
