city,pop,country_code,city_lat,city_lon,city_elevation(m)
Moscow,10381222.0,RU,55.7522,37.6156,139.0
Saint Petersburg,5028000.0,RU,,,
Novosibirsk,1419007.0,RU,,,
Yekaterinburg,1349772.0,RU,,,
Nizhniy Novgorod,1284164.0,RU,,,
Samara,1134730.0,RU,,,
Omsk,1129281.0,RU,,,
Kazan,1104738.0,RU,,,
Rostov-na-Donu,1074482.0,RU,,,
Chelyabinsk,1062919.0,RU,,,
London,8961989.0,GB,,,
Berlin,3426354.0,DE,52.5244,13.4105,58.0
Madrid,3255944.0,ES,,,
Kyiv,2797553.0,UA,,,
Hamburg,1739117.0,DE,,,
Barcelona,1621537.0,ES,,,
Kharkiv,1430885.0,UA,,,
Munich,1260391.0,DE,,,
Donetsk,1024700.0,UA,,,
Odessa,1013159.0,UA,,,
Dnipro,998103.0,UA,,,
Birmingham,984333.0,GB,,,
Koeln,963395.0,DE,,,
Liverpool,864122.0,GB,,,
Valencia,814208.0,ES,,,
Zaporizhzhya,738728.0,UA,,,
Lviv,717803.0,UA,,,
Sevilla,703206.0,ES,,,
Sheffield,685368.0,GB,,,
Zaragoza,674317.0,ES,,,
Frankfurt am Main,650000.0,DE,,,
Kryvyy Rih,624579.0,UA,,,
Bristol,617280.0,GB,,,
Rome,2318895.0,IT,,,
Warsaw,1702139.0,PL,,,
Milan,1236837.0,IT,,,
Naples,959470.0,IT,,,
Turin,870456.0,IT,,,
Lodz,768755.0,PL,,,
Krakow,755050.0,PL,,,
Palermo,648260.0,IT,,,
Wroclaw,634893.0,PL,,,
Genoa,580223.0,IT,,,
Poznan,570352.0,PL,,,
Paris,2138551.0,FR,,,
Bucharest,1877155.0,RO,,,
Marseille,794811.0,FR,,,
Lyon,472317.0,FR,,,
Toulouse,433055.0,FR,,,
Sector 3,385439.0,RO,,,
Sector 6,367760.0,RO,,,
Sector 2,345370.0,RO,,,
Nice,338620.0,FR,,,
Minsk,1742124.0,BY,,,
Amsterdam,741636.0,NL,,,
Rotterdam,598199.0,NL,,,
Homyel',480951.0,BY,,,
The Hague,474292.0,NL,,,
Mahilyow,369200.0,BY,,,
Vitebsk,342700.0,BY,,,
Hrodna,317365.0,BY,,,
Brest,300715.0,BY,,,
Utrecht,290529.0,NL,,,
Babruysk,220517.0,BY,,,
Eindhoven,209620.0,NL,,,
Budapest,1741041.0,HU,,,
Vienna,1691468.0,AT,,,
Stockholm,1515017.0,SE,,,
Belgrade,1273651.0,RS,,,
Prague,1165581.0,CZ,,,
Copenhagen,1153615.0,DK,,,
Sofia,1152556.0,BG,,,
Dublin,1024027.0,IE,,,
Brussels,1019022.0,BE,,,
Riga,742572.0,LV,,,
Zagreb,698966.0,HR,,,
Sarajevo,696731.0,BA,,,
Athens,664046.0,GR,,,
Chisinau,635994.0,MD,,,
Oslo,580000.0,NO,,,
Goeteborg,572799.0,SE,,,
Helsinki,558457.0,FI,,,
Vilnius,542366.0,LT,,,
Lisbon,517802.0,PT,,,
Skopje,474889.0,MK,,,
Antwerpen,459805.0,BE,,,
Bratislava,423737.0,SK,,,
Tallinn,394024.0,EE,,,
Tirana,374801.0,AL,,,
Kaunas,374643.0,LT,,,
Brno,369559.0,CZ,,,
Thessaloniki,354290.0,GR,,,
Zurich,341730.0,CH,,,
Plovdiv,340494.0,BG,,,
Ostrava,313088.0,CZ,,,
Varna,312770.0,BG,,,
Malmoe,301706.0,SE,,,
Ljubljana,272220.0,SI,,,
Espoo,256760.0,FI,,,
Nis,250000.0,RS,,,
Porto,249633.0,PT,,,
Arhus,237551.0,DK,,,
Podgorica,236852.0,ME,,,
Kosice,236563.0,SK,,,
Gent,231493.0,BE,,,
Graz,222326.0,AT,,,
Banja Luka,221106.0,BA,,,
Novi Sad,215400.0,RS,,,
Bergen,213585.0,NO,,,
Linz,204846.0,AT,,,
Debrecen,204124.0,HU,,,
Tampere,202687.0,FI,,,
Favoriten,201882.0,AT,,,
Nicosia,200452.0,CY,,,
Charleroi,200132.0,BE,,,
Burgas,195966.0,BG,,,
Klaipeda,192307.0,LT,,,
Cork,190384.0,IE,,,
Vantaa,190058.0,FI,,,
Donaustadt,187007.0,AT,,,
Geneve,183981.0,CH,,,
Liege,182597.0,BE,,,
Amadora,178858.0,PT,,,
Split,176314.0,HR,,,
Turku,175945.0,FI,,,
Miskolc,172637.0,HU,,,
Patra,168034.0,GR,,,
Szeged,164883.0,HU,,,
Basel,164488.0,CH,,,
Zenica,164423.0,BA,,,
Pilsen,164180.0,CZ,,,
Piraeus,163688.0,GR,,,
Floridsdorf,162779.0,AT,,,
Anderlecht,160553.0,BE,,,
Tiraspol,157000.0,MD,,,
Pecs,156649.0,HU,,,
Ruse,156238.0,BG,,,
Catania,290927.0,IT,,,
Manchester,395515.0,GB,,,
Alicante,334757.0,ES,,,
Krasnodar,649851.0,RU,,,
Bologna,366133.0,IT,,,
Ufa,1033338.0,RU,,,
Kaliningrad,434954.0,RU,,,
Stuttgart,589793.0,DE,,,
Nantes,277269.0,FR,,,
Bordeaux,231844.0,FR,,,
Edinburgh,464990.0,GB,,,
Bilbao,354860.0,ES,,,
Belfast,274770.0,GB,,,
Glasgow,591620.0,GB,,,
Florence,349296.0,IT,,,
Katowice,317316.0,PL,,,
Frankfurt,650000.0,DE,,,
Palma de Mallorca,472000.0,ES,,,
Málaga,568305.0,ES,,,
Düsseldorf,573057.0,DE,,,
Simferopol,336460.0,RU,,,
Ibiza,159000.0,ES,,,
Cologne,963395.0,DE,,,
Venice,258685.0,IT,,,
Mineralnye Vody,76728.0,RU,,,
Anapa,94340.0,RU,,,
Rostov-on-Don,1138000.0,RU,,,
Cagliari,476975.0,IT,,,
Olbia,60346.0,IT,,,
Istanbul,15840900.0,TR,,,
Zürich,1420000.0,CH,,,
Geneva,626618.0,CH,,,
Heraklion,225500.0,GR,,,
Rhodes,117000.0,GR,,,
Faro,67566.0,PT,,,
Corfu,111113.0,GR,,,
Pristina,218782.0,XK,,,
Keflavík,20298.0,IS,,,
Gdansk,461865.0,PL,,,
Trondheim,279234.0,NO,,,
Bruges,118467.0,BE,,,
Reykjavik,134602.0,IS,,,
Antalya,2619832.0,TR,,,
Mugla,1021141.0,TR,,,
