country,country_code,country_code_alt,GDP_in_millions(USD),capital,population,land_area,airport_count
Russia,RU,RUS,1483497.7848676,Moscow,140702000,17100000,208
United Kingdom,GB,GBR,2707743.7771739103,London,62348447,244820,126
Germany,DE,DEU,3806060.14012452,Berlin,81802257,357021,105
Spain,ES,ESP,1281199.09101635,Madrid,46505963,504782,57
Ukraine,UA,UKR,155582.00871742598,Kiev,45415596,603700,35
Italy,IT,ITA,1886445.2683407099,Rome,60340328,301230,64
Poland,PL,POL,594164.690894936,Warsaw,38500000,312685,21
France,FR,FRA,2603004.39590195,Paris,64768389,547030,134
Romania,RO,ROU,248715.55136663502,Bucharest,21959278,237500,17
Belarus,BY,BLR,60258.239055582904,Minsk,9685000,207600,7
Netherlands,NL,NLD,912242.335119069,Amsterdam,16645000,41526,13
Hungary,HU,HUN,155012.927629087,Budapest,9982000,93030,6
Austria,AT,AUT,428965.397959456,Vienna,8205000,83858,7
Sweden,SE,SWE,537609.865719019,Stockholm,9828655,449964,52
Serbia,RS,SRB,52960.134078688796,Belgrade,7344847,88361,4
Czech Republic,CZ,CZE,243530.37989681298,Prague,10476000,78866,12
Denmark,DK,DNK,355184.02484125405,Copenhagen,5484000,43094,18
Bulgaria,BG,BGR,69105.1010895531,Sofia,7148785,110910,11
Ireland,IE,IRL,418621.818482305,Dublin,4622917,70280,18
Belgium,BE,BEL,515332.499627861,Brussels,10403000,30510,7
Latvia,LV,LVA,33505.1852287067,Riga,2217969,64589,4
Croatia,HR,HRV,55966.5817801688,Zagreb,4284889,56542,9
Bosnia and Herzegovina,BA,BIH,19788.4222481072,Sarajevo,4590000,51129,4
Greece,GR,GRC,189410.10662001598,Athens,11000000,131940,45
Moldova,MD,MDA,11914.0409052626,Chisinau,4324000,33843,2
Norway,NO,NOR,362008.95654482703,Oslo,5009150,324220,58
Finland,FI,FIN,271233.883403892,Helsinki,5244000,337030,33
Lithuania,LT,LTU,55887.2718330025,Vilnius,2944459,65200,6
Portugal,PT,PRT,231255.587276741,Lisbon,10676000,92391,25
North Macedonia,MK,MKD,12266.9498051436,Skopje,2062294,25333,2
Slovakia,SK,SVK,104574.14624836399,Bratislava,5455000,48845,8
Estonia,EE,EST,31029.968591277902,Tallinn,1291170,45226,5
Albania,AL,ALB,14799.6150971008,Tirana,2986952,28748,1
Switzerland,CH,CHE,747968.636174008,Bern,7581000,41290,14
Slovenia,SI,SVN,52880.473699880306,Ljubljana,2007000,20273,3
Montenegro,ME,MNE,4778.5823361823395,Podgorica,666730,14026,4
Cyprus,CY,CYP,23804.340376927503,Nicosia,1102677,9250,5
Turkey,TR,TUR,720101.212394114,Ankara,77804122,780580,65
Kosovo,XK,XKX,7611.402165242171,Pristina,1800000,10908,1
Iceland,IS,ISL,21714.6705696033,Reykjavik,308910,103000,38
